precheck1	seed=1	variance=14.123013564599	tolerance=1.006823332435	pooled_n=300000	pooled_variance=13.804505565419	empirical_variance=13.2802
precheck2	mean_signed_movement=0.169976215071	expected=0.171
precheck3	scenario=Q5	paired_sd=0.509429539081
precheck3	scenario=Q20	paired_sd=1.610686454815
precheck3	scenario=Q80	paired_sd=5.365488243716
precheck3	scenario=M5	paired_sd=1.447168237907
precheck3	scenario=M20	paired_sd=1.055791069009
precheck3	scenario=M80	paired_sd=1.478301388106
precheck3	scenario=A20	paired_sd=1.119361438037
precheck3	scenario=B20	paired_sd=0.218777996546
precheck3	s_max=5.365488243716	S=1843
precheck3	S=1843 exceeds 1000; runtime scales linearly with S
candidate	scenario	budget_pairs	estimator	mean_loss	start_loss	mean_diff_vs_current	se_diff	clip_fraction
C0	Q5	3000	final	17.263109408080	17.600000000000	1.020638674195	0.013471070031	0.000000000000
C0	Q5	3000	average	17.319572966417	17.600000000000	1.077102232531	0.014261484563	0.000000000000
C0	Q5	6000	final	16.916086736146	17.600000000000	0.673616002261	0.009936057188	0.000000000000
C0	Q5	6000	average	17.028274869190	17.600000000000	0.785804135305	0.011153689742	0.000000000000
C0	Q5	12000	final	16.242470733885	17.600000000000	0.000000000000	0.000000000000	0.000000000000
C0	Q5	12000	average	16.458053131479	17.600000000000	0.215582397594	0.005105509447	0.000000000000
C0	Q20	3000	final	64.407723564600	70.400000000000	15.240519853409	0.045416346689	0.000000000000
C0	Q20	3000	average	65.361979560030	70.400000000000	16.194775848839	0.047931834205	0.000000000000
C0	Q20	6000	final	58.857826628561	70.400000000000	9.690622917370	0.033786721074	0.000000000000
C0	Q20	6000	average	60.617689718120	70.400000000000	11.450486006929	0.037873952963	0.000000000000
C0	Q20	12000	final	49.167203711191	70.400000000000	0.000000000000	0.000000000000	0.000000000000
C0	Q20	12000	average	52.154049788402	70.400000000000	2.986846077211	0.017763610038	0.000000000000
C0	Q80	3000	final	197.171651986412	281.600000000000	130.175033058589	0.133681564474	0.000000000000
C0	Q80	3000	average	209.178624313768	281.600000000000	142.182005385945	0.137956302415	0.000000000000
C0	Q80	6000	final	137.572589188889	281.600000000000	70.575970261066	0.104339247193	0.000000000000
C0	Q80	6000	average	155.069779498987	281.600000000000	88.073160571164	0.118162434522	0.000000000000
C0	Q80	12000	final	66.996618927823	281.600000000000	0.000000000000	0.000000000000	0.000000000000
C0	Q80	12000	average	85.285624065360	281.600000000000	18.289005137536	0.050077138623	0.000000000000
C0	M5	3000	final	73.036077236686	74.814503805451	4.810767442481	0.028501846777	0.090909090909
C0	M5	3000	average	73.313677212786	74.814503805451	5.088367418581	0.030051175394	0.090909090909
C0	M5	6000	final	71.364449773564	74.814503805451	3.139139979359	0.020749850199	0.090863677469
C0	M5	6000	average	71.900552988008	74.814503805451	3.675243193803	0.023539388963	0.090863677469
C0	M5	12000	final	68.225309794205	74.814503805451	0.000000000000	0.000000000000	0.089554218254
C0	M5	12000	average	69.226329769541	74.814503805451	1.001019975336	0.010661339080	0.089554218254
C0	M20	3000	final	65.494072034783	71.804447220327	15.493735028322	0.045965736614	0.090909090909
C0	M20	3000	average	66.481799497462	71.804447220327	16.481462491001	0.048397994736	0.090909090909
C0	M20	6000	final	59.809394492086	71.804447220327	9.809057485625	0.034376378796	0.090875515875
C0	M20	6000	average	61.597575377101	71.804447220327	11.597238370640	0.038232757660	0.090875515875
C0	M20	12000	final	50.000337006461	71.804447220327	0.000000000000	0.000000000000	0.089939952975
C0	M20	12000	average	53.023431463257	71.804447220327	3.023094456796	0.018182325065	0.089939952975
C0	M80	3000	final	13.627786981423	18.880611164635	7.775931809746	0.029806768057	0.090909090909
C0	M80	3000	average	14.354061889898	18.880611164635	8.502206718221	0.030485606023	0.090909090909
C0	M80	6000	final	10.033742371193	18.880611164635	4.181887199516	0.024371801125	0.090906164192
C0	M80	6000	average	11.047499065160	18.880611164635	5.195643893483	0.026673713130	0.090906164192
C0	M80	12000	final	5.851855171677	18.880611164635	0.000000000000	0.000000000000	0.090803022082
C0	M80	12000	average	6.873075996664	18.880611164635	1.021220824988	0.012436890045	0.090803022082
C0	A20	3000	final	64.332507761707	70.400000000000	15.284179647107	0.044597476783	0.000000000000
C0	A20	3000	average	65.283181330176	70.400000000000	16.234853215575	0.047071078701	0.000000000000
C0	A20	6000	final	58.753644234972	70.400000000000	9.705316120372	0.033290285956	0.000000000000
C0	A20	6000	average	60.519577334838	70.400000000000	11.471249220238	0.036947363654	0.000000000000
C0	A20	12000	final	49.048328114600	70.400000000000	0.000000000000	0.000000000000	0.000000000000
C0	A20	12000	average	52.042146897536	70.400000000000	2.993818782936	0.017750538129	0.000000000000
C0	B20	3000	final	0.186243827505	0.000000000000	-0.458553764423	0.004309834660	1.000000000000
C0	B20	3000	average	0.155568615720	0.000000000000	-0.489228976208	0.004449736323	1.000000000000
C0	B20	6000	final	0.355459407887	0.000000000000	-0.289338184041	0.003453606295	0.999853368191
C0	B20	6000	average	0.300163545976	0.000000000000	-0.344634045952	0.003781118384	0.999853368191
C0	B20	12000	final	0.644797591928	0.000000000000	0.000000000000	0.000000000000	0.996641066114
C0	B20	12000	average	0.551979854407	0.000000000000	-0.092817737521	0.001961314248	0.996641066114
C1	Q5	3000	final	16.757474883125	17.600000000000	0.515004149240	0.013086013093	0.000000000000
C1	Q5	3000	average	16.959573844178	17.600000000000	0.717103110292	0.013728954693	0.000000000000
C1	Q5	6000	final	15.944201951601	17.600000000000	-0.298268782285	0.010488198438	0.000000000000
C1	Q5	6000	average	16.328510039629	17.600000000000	0.086039305744	0.010735186238	0.000000000000
C1	Q5	12000	final	14.440441764080	17.600000000000	-1.802028969805	0.007124803085	0.000000000000
C1	Q5	12000	average	15.143054417755	17.600000000000	-1.099416316130	0.005794760603	0.000000000000
C1	Q20	3000	final	56.936000663266	70.400000000000	7.768796952076	0.046408423659	0.000000000000
